scorer,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000,DLC_resnet101_AboveKneeFeb6shuffle1_103000
bodyparts,ankle1,ankle1,ankle1,knee1,knee1,knee1,hip1,hip1,hip1,hip2,hip2,hip2,knee2,knee2,knee2,ankle2,ankle2,ankle2,wrist1,wrist1,wrist1,elbow1,elbow1,elbow1,shoulder1,shoulder1,shoulder1,shoulder2,shoulder2,shoulder2,elbow2,elbow2,elbow2,wrist2,wrist2,wrist2,chin,chin,chin,forehead,forehead,forehead
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,620.412353515625,602.9395141601562,0.9019541144371033,630.5235595703125,498.610595703125,0.8935005068778992,637.687255859375,378.25933837890625,0.7614989876747131,701.0034790039062,378.5150451660156,0.631327748298645,690.2756958007812,496.17462158203125,0.8832507729530334,673.108642578125,605.9640502929688,0.9403436183929443,591.3367309570312,367.3130187988281,0.9795970320701599,605.1458740234375,286.2453308105469,0.9762223362922668,628.7638549804688,196.4460906982422,0.9904058575630188,740.6428833007812,201.0388946533203,0.9824967384338379,752.5928344726562,295.4975891113281,0.9718461632728577,749.3460083007812,380.8990783691406,0.9723676443099976,689.0679321289062,159.77212524414062,0.9895271062850952,693.224365234375,96.64965057373047,0.9761858582496643
1,620.4170532226562,603.1693725585938,0.9033941030502319,630.4365234375,498.63726806640625,0.8912912607192993,637.6149291992188,378.1501770019531,0.7611424922943115,700.985107421875,378.40960693359375,0.6302369236946106,690.2064819335938,495.7255859375,0.8881077766418457,673.0984497070312,605.97314453125,0.9410532712936401,591.2669067382812,367.3655090332031,0.9799096584320068,605.2047729492188,286.27374267578125,0.9757779836654663,628.7737426757812,196.4925537109375,0.9905115962028503,740.634765625,201.05332946777344,0.9823184013366699,752.6219482421875,295.5128173828125,0.9716894626617432,749.3311157226562,381.01080322265625,0.97230464220047,689.0673828125,159.76673889160156,0.9894936084747314,693.2254638671875,96.64077758789062,0.9762297868728638
2,622.7477416992188,601.5070190429688,0.8770318627357483,632.2509765625,492.93634033203125,0.9021778106689453,637.8349609375,376.7938537597656,0.6976505517959595,701.3906860351562,378.3902282714844,0.6398116946220398,690.8993530273438,495.186767578125,0.9136263132095337,673.1206665039062,604.90185546875,0.9441430568695068,590.9536743164062,369.2454833984375,0.9695102572441101,606.53955078125,285.24432373046875,0.9672433137893677,630.2021484375,198.74681091308594,0.9895272254943848,742.7279052734375,203.49510192871094,0.9828239679336548,752.1724853515625,295.5353088378906,0.9729702472686768,749.5819702148438,381.53265380859375,0.9702620506286621,690.0804443359375,161.79075622558594,0.9931377172470093,695.15234375,99.25635528564453,0.9749001264572144
3,624.6024169921875,603.8701782226562,0.9048126935958862,633.1144409179688,493.2802429199219,0.8830613493919373,638.3373413085938,371.82769775390625,0.7098009586334229,701.97412109375,372.70428466796875,0.6283459067344666,690.9885864257812,493.25823974609375,0.9126654267311096,673.1505126953125,604.0094604492188,0.9509527087211609,591.141845703125,369.2941589355469,0.9765099287033081,607.1693115234375,286.3763427734375,0.959640383720398,631.3997802734375,199.86856079101562,0.9879633188247681,743.7782592773438,205.2826690673828,0.9802464246749878,753.8434448242188,297.370849609375,0.970460057258606,748.570068359375,388.13232421875,0.9449819922447205,691.8359985351562,162.6900634765625,0.9952607750892639,695.6812133789062,100.80819702148438,0.9745302200317383
4,628.0293579101562,602.3204956054688,0.924299955368042,634.8582763671875,495.43402099609375,0.8941698670387268,639.877685546875,372.5570373535156,0.6852511763572693,701.7874145507812,378.80999755859375,0.6476926207542419,691.0359497070312,495.79010009765625,0.8826974034309387,673.0382080078125,603.4080810546875,0.9521647095680237,591.1331176757812,370.9263610839844,0.9701486825942993,608.2075805664062,287.970947265625,0.9707626104354858,632.0697631835938,200.10350036621094,0.9899922013282776,743.14306640625,205.83346557617188,0.9818404316902161,754.0177612304688,298.58990478515625,0.9823188185691833,749.3240966796875,387.1131896972656,0.9739969372749329,691.8465576171875,164.68206787109375,0.9959506988525391,697.345703125,102.27437591552734,0.9777852296829224
5,629.5215454101562,603.5078735351562,0.8920183181762695,636.5153198242188,495.73382568359375,0.9326930642127991,642.011474609375,378.13525390625,0.7684914469718933,701.8289794921875,379.9999084472656,0.7042904496192932,691.8174438476562,495.9266052246094,0.912488579750061,673.3836669921875,602.6400146484375,0.9746311902999878,590.936279296875,374.5472412109375,0.9607707858085632,608.0697631835938,290.86468505859375,0.9793452024459839,632.3637084960938,202.8793487548828,0.991814911365509,745.2261352539062,208.64414978027344,0.9842373728752136,755.178466796875,302.4512023925781,0.9818983674049377,749.4669799804688,387.50103759765625,0.9810599684715271,692.9201049804688,166.07875061035156,0.9957975149154663,698.7926025390625,103.69220733642578,0.9825870394706726
6,630.2222290039062,611.4945068359375,0.8165249228477478,638.2113647460938,498.9166259765625,0.9181001782417297,642.3518676757812,378.40618896484375,0.787245512008667,700.88818359375,379.82366943359375,0.7733863592147827,691.646240234375,495.9803466796875,0.9133104085922241,673.4177856445312,601.486572265625,0.9773808717727661,590.373046875,378.9851989746094,0.965086042881012,608.999267578125,289.2511901855469,0.9748318195343018,632.8196411132812,205.1313934326172,0.9917339086532593,747.1799926757812,209.82937622070312,0.9901235699653625,756.4241333007812,302.85797119140625,0.9817803502082825,750.2687377929688,388.0717468261719,0.9807505011558533,693.9308471679688,166.9690704345703,0.9959766268730164,699.86962890625,104.73644256591797,0.9873479604721069
7,631.1458129882812,611.0297241210938,0.7545666694641113,638.8501586914062,500.48297119140625,0.86735999584198,642.8016967773438,378.5595397949219,0.7793437838554382,701.9630126953125,380.4342956542969,0.7880724668502808,692.2102661132812,493.4558410644531,0.9292503595352173,673.4879760742188,600.99609375,0.9799124598503113,589.9484252929688,379.67572021484375,0.9724918603897095,608.7919311523438,291.3145446777344,0.9798427224159241,633.850341796875,206.091552734375,0.9913882613182068,747.2774658203125,211.15870666503906,0.9916102290153503,757.8585205078125,303.1954040527344,0.9838809967041016,751.4644165039062,387.5123596191406,0.9766984581947327,694.6469116210938,168.12545776367188,0.9951654672622681,700.6844482421875,106.05368041992188,0.9908590912818909
